Month,Department,Metric,Value
01/01/2023,Subway,Subway Customer Accidents,3.23
01/01/2023,Subway,Subway Fires,77
01/01/2023,Subway,Joint Track Safety Audits - Actual Count,15
01/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.9776
01/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),4276
01/01/2023,Subway,Friction Pad Installation,3303
02/01/2023,Bus,Bus Collision Per Million Miles,56.46
02/01/2023,Bus,Bus Collision Injuries Per Million Miles,4.41
02/01/2023,Bus,Bus Customer Accidents per million customers,2.11
02/01/2023,Bus,Audible Pedestrian Turn Warning System,38
02/01/2023,Bus,Vision Zero Employee Training,396
02/01/2023,Subway,Subway Customer Accidents,2.78
02/01/2023,Subway,Subway Fires,94
02/01/2023,Subway,Joint Track Safety Audits - Actual Count,31
02/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.9912
02/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),2145
02/01/2023,Subway,Friction Pad Installation,4904
03/01/2023,Bus,Bus Collision Per Million Miles,57.62
03/01/2023,Bus,Bus Collision Injuries Per Million Miles,8.22
03/01/2023,Bus,Bus Customer Accidents per million customers,2.14
03/01/2023,Bus,Audible Pedestrian Turn Warning System,24
03/01/2023,Bus,Vision Zero Employee Training,591
03/01/2023,Subway,Subway Customer Accidents,2.83
03/01/2023,Subway,Subway Fires,98
03/01/2023,Subway,Joint Track Safety Audits - Actual Count,30
03/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.989
03/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),2535
03/01/2023,Subway,Friction Pad Installation,4944
04/01/2023,Bus,Bus Collision Per Million Miles,58.14
04/01/2023,Bus,Bus Collision Injuries Per Million Miles,6.87
04/01/2023,Bus,Bus Customer Accidents per million customers,2.22
04/01/2023,Bus,Audible Pedestrian Turn Warning System,18
04/01/2023,Bus,Vision Zero Employee Training,507
04/01/2023,Subway,Subway Customer Accidents,2.58
04/01/2023,Subway,Subway Fires,95
04/01/2023,Subway,Joint Track Safety Audits - Actual Count,27
04/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.998
04/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),1140
04/01/2023,Subway,Friction Pad Installation,4249
05/01/2023,Bus,Bus Collision Per Million Miles,65.32
05/01/2023,Bus,Bus Collision Injuries Per Million Miles,10.99
05/01/2023,Bus,Bus Customer Accidents per million customers,2.17
05/01/2023,Bus,Audible Pedestrian Turn Warning System,11
05/01/2023,Bus,Vision Zero Employee Training,523
05/01/2023,Subway,Subway Customer Accidents,2.3
05/01/2023,Subway,Subway Fires,136
05/01/2023,Subway,Joint Track Safety Audits - Actual Count,31
05/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,1
05/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),3239
05/01/2023,Subway,Friction Pad Installation,4893
06/01/2023,Bus,Bus Collision Per Million Miles,55.51
06/01/2023,Bus,Bus Collision Injuries Per Million Miles,8.15
06/01/2023,Bus,Bus Customer Accidents per million customers,2.42
06/01/2023,Bus,Audible Pedestrian Turn Warning System,3
06/01/2023,Bus,Vision Zero Employee Training,514
06/01/2023,Subway,Subway Customer Accidents,2.55
06/01/2023,Subway,Subway Fires,100
06/01/2023,Subway,Joint Track Safety Audits - Actual Count,26
06/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.9924
06/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),1543
06/01/2023,Subway,Friction Pad Installation,4402
07/01/2023,Bus,Bus Collision Per Million Miles,54.43
07/01/2023,Bus,Bus Collision Injuries Per Million Miles,11.31
07/01/2023,Bus,Bus Customer Accidents per million customers,2.33
07/01/2023,Bus,Audible Pedestrian Turn Warning System,7
07/01/2023,Bus,Vision Zero Employee Training,525
07/01/2023,Subway,Subway Customer Accidents,2.49
07/01/2023,Subway,Subway Fires,75
07/01/2023,Subway,Joint Track Safety Audits - Actual Count,18
07/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.988
07/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),2340
07/01/2023,Subway,Friction Pad Installation,3047
08/01/2023,Bus,Bus Collision Per Million Miles,51.8
08/01/2023,Bus,Bus Collision Injuries Per Million Miles,8.6
08/01/2023,Bus,Bus Customer Accidents per million customers,2.53
08/01/2023,Bus,Audible Pedestrian Turn Warning System,9
08/01/2023,Bus,Vision Zero Employee Training,552
08/01/2023,Subway,Subway Customer Accidents,2.41
08/01/2023,Subway,Subway Fires,65
08/01/2023,Subway,Joint Track Safety Audits - Actual Count,35
08/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.987
08/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),1110
08/01/2023,Subway,Friction Pad Installation,4290
09/01/2023,Bus,Bus Collision Per Million Miles,63.17
09/01/2023,Bus,Bus Collision Injuries Per Million Miles,8.44
09/01/2023,Bus,Bus Customer Accidents per million customers,2.66
09/01/2023,Bus,Audible Pedestrian Turn Warning System,12
09/01/2023,Bus,Vision Zero Employee Training,607
09/01/2023,Subway,Subway Customer Accidents,2.51
09/01/2023,Subway,Subway Fires,88
09/01/2023,Subway,Joint Track Safety Audits - Actual Count,27
09/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.983
09/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),365
09/01/2023,Subway,Friction Pad Installation,2648
10/01/2023,Bus,Bus Collision Per Million Miles,65.56
10/01/2023,Bus,Bus Collision Injuries Per Million Miles,7.77
10/01/2023,Bus,Bus Customer Accidents per million customers,2.37
10/01/2023,Bus,Audible Pedestrian Turn Warning System,28
10/01/2023,Bus,Vision Zero Employee Training,571
10/01/2023,Subway,Subway Customer Accidents,2.65
10/01/2023,Subway,Subway Fires,70
10/01/2023,Subway,Joint Track Safety Audits - Actual Count,28
10/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.985
10/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),972
10/01/2023,Subway,Friction Pad Installation,3202
11/01/2023,Bus,Bus Collision Per Million Miles,62.56
11/01/2023,Bus,Bus Collision Injuries Per Million Miles,7.12
11/01/2023,Bus,Bus Customer Accidents per million customers,2.12
11/01/2023,Bus,Audible Pedestrian Turn Warning System,9
11/01/2023,Bus,Vision Zero Employee Training,524
11/01/2023,Subway,Subway Customer Accidents,2.51
11/01/2023,Subway,Subway Fires,69
11/01/2023,Subway,Joint Track Safety Audits - Actual Count,29
11/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.9977
11/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),1854
11/01/2023,Subway,Friction Pad Installation,4288
12/01/2023,Bus,Bus Collision Per Million Miles,61.75
12/01/2023,Bus,Bus Collision Injuries Per Million Miles,8.08
12/01/2023,Bus,Bus Customer Accidents per million customers,2.11
12/01/2023,Bus,Audible Pedestrian Turn Warning System,24
12/01/2023,Bus,Vision Zero Employee Training,548
12/01/2023,Subway,Subway Customer Accidents,2.99
12/01/2023,Subway,Subway Fires,56
12/01/2023,Subway,Joint Track Safety Audits - Actual Count,22
12/01/2023,Subway,Joint Track Safety Audits - Compliance Rate,0.9909
12/01/2023,Subway,Continuous Welded Rail Initiative (# Track Feet),4220
12/01/2023,Subway,Friction Pad Installation,5068
01/01/2024,Bus,Bus Collision Per Million Miles,53.15
01/01/2024,Bus,Bus Collision Injuries Per Million Miles,7.57
01/01/2024,Bus,Bus Customer Accidents per million customers,2.15
01/01/2024,Bus,Audible Pedestrian Turn Warning System,25
01/01/2024,Bus,Vision Zero Employee Training,520
01/01/2024,Subway,Subway Customer Accidents,3.63
01/01/2024,Subway,Subway Fires,75
01/01/2024,Subway,Joint Track Safety Audits - Actual Count,28
01/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.988
01/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),1560
01/01/2024,Subway,Friction Pad Installation,2256
02/01/2024,Bus,Bus Collision Per Million Miles,56.45
02/01/2024,Bus,Bus Collision Injuries Per Million Miles,8.63
02/01/2024,Bus,Bus Customer Accidents per million customers,1.99
02/01/2024,Bus,Audible Pedestrian Turn Warning System,33
02/01/2024,Bus,Vision Zero Employee Training,531
02/01/2024,Subway,Subway Customer Accidents,3.27
02/01/2024,Subway,Subway Fires,75
02/01/2024,Subway,Joint Track Safety Audits - Actual Count,14
02/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,1
02/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),973
02/01/2024,Subway,Friction Pad Installation,7130
03/01/2024,Subway,Friction Pad Installation,5552
03/01/2024,Bus,Bus Collision Per Million Miles,59.66
03/01/2024,Bus,Bus Collision Injuries Per Million Miles,5.45
03/01/2024,Bus,Bus Customer Accidents per million customers,2.15
03/01/2024,Bus,Audible Pedestrian Turn Warning System,40
03/01/2024,Bus,Vision Zero Employee Training,556
03/01/2024,Subway,Subway Customer Accidents,2.42
03/01/2024,Subway,Subway Fires,73
03/01/2024,Subway,Joint Track Safety Audits - Actual Count,12
03/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.989
03/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),1634
04/01/2024,Bus,Bus Collision Per Million Miles,57.05
04/01/2024,Bus,Bus Collision Injuries Per Million Miles,5.59
04/01/2024,Bus,Bus Customer Accidents per million customers,2.31
04/01/2024,Bus,Audible Pedestrian Turn Warning System,34
04/01/2024,Bus,Vision Zero Employee Training,521
04/01/2024,Subway,Subway Customer Accidents,2.43
04/01/2024,Subway,Subway Fires,70
04/01/2024,Subway,Joint Track Safety Audits - Actual Count,12
04/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.9828
04/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),1345
04/01/2024,Subway,Friction Pad Installation,5921
05/01/2024,Bus,Bus Collision Per Million Miles,63.74
05/01/2024,Bus,Bus Collision Injuries Per Million Miles,11.67
05/01/2024,Bus,Bus Customer Accidents per million customers,2.71
05/01/2024,Bus,Audible Pedestrian Turn Warning System,38
05/01/2024,Bus,Vision Zero Employee Training,546
05/01/2024,Subway,Subway Customer Accidents,2.62
05/01/2024,Subway,Subway Fires,72
05/01/2024,Subway,Joint Track Safety Audits - Actual Count,15
05/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.96
05/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),2728
05/01/2024,Subway,Friction Pad Installation,4164
06/01/2024,Bus,Bus Collision Per Million Miles,62.2
06/01/2024,Bus,Bus Collision Injuries Per Million Miles,6.85
06/01/2024,Bus,Bus Customer Accidents per million customers,3.34
06/01/2024,Bus,Audible Pedestrian Turn Warning System,25
06/01/2024,Bus,Vision Zero Employee Training,474
06/01/2024,Subway,Subway Customer Accidents,2.21
06/01/2024,Subway,Subway Fires,61
06/01/2024,Subway,Joint Track Safety Audits - Actual Count,11
06/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.9877
06/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),1485
06/01/2024,Subway,Friction Pad Installation,4608
07/01/2024,Bus,Bus Collision Per Million Miles,55.06
07/01/2024,Bus,Bus Collision Injuries Per Million Miles,8.04
07/01/2024,Bus,Bus Customer Accidents per million customers,2.86
07/01/2024,Bus,Audible Pedestrian Turn Warning System,15
07/01/2024,Bus,Vision Zero Employee Training,551
07/01/2024,Subway,Subway Customer Accidents,2.35
07/01/2024,Subway,Subway Fires,55
07/01/2024,Subway,Joint Track Safety Audits - Actual Count,16
07/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.9801
07/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),0
07/01/2024,Subway,Friction Pad Installation,3280
08/01/2024,Bus,Bus Collision Per Million Miles,53.62
08/01/2024,Bus,Bus Collision Injuries Per Million Miles,9.11
08/01/2024,Bus,Bus Customer Accidents per million customers,2.58
08/01/2024,Bus,Audible Pedestrian Turn Warning System,27
08/01/2024,Bus,Vision Zero Employee Training,553
08/01/2024,Subway,Subway Customer Accidents,2.38
08/01/2024,Subway,Subway Fires,73
08/01/2024,Subway,Joint Track Safety Audits - Actual Count,12
08/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.9945
08/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),3658
08/01/2024,Subway,Friction Pad Installation,2472
09/01/2024,Bus,Bus Collision Per Million Miles,63.96
09/01/2024,Bus,Bus Collision Injuries Per Million Miles,7.69
09/01/2024,Bus,Bus Customer Accidents per million customers,2.94
09/01/2024,Bus,Audible Pedestrian Turn Warning System,37
09/01/2024,Bus,Vision Zero Employee Training,505
09/01/2024,Subway,Subway Customer Accidents,1.86
09/01/2024,Subway,Subway Fires,64
09/01/2024,Subway,Joint Track Safety Audits - Actual Count,12
09/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.994
09/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),975
09/01/2024,Subway,Friction Pad Installation,2444
10/01/2024,Bus,Bus Collision Per Million Miles,65.36
10/01/2024,Bus,Bus Collision Injuries Per Million Miles,8.24
10/01/2024,Bus,Bus Customer Accidents per million customers,2.76
10/01/2024,Bus,Audible Pedestrian Turn Warning System,45
10/01/2024,Bus,Vision Zero Employee Training,647
10/01/2024,Subway,Subway Customer Accidents,2.03
10/01/2024,Subway,Subway Fires,73
10/01/2024,Subway,Joint Track Safety Audits - Actual Count,16
10/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.972
10/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),585
10/01/2024,Subway,Friction Pad Installation,3473
11/01/2024,Bus,Bus Collision Per Million Miles,68.35
11/01/2024,Bus,Bus Collision Injuries Per Million Miles,8.12
11/01/2024,Bus,Bus Customer Accidents per million customers,2.19
11/01/2024,Bus,Audible Pedestrian Turn Warning System,36
11/01/2024,Bus,Vision Zero Employee Training,575
11/01/2024,Subway,Subway Customer Accidents,2.33
11/01/2024,Subway,Subway Fires,70
11/01/2024,Subway,Joint Track Safety Audits - Actual Count,14
11/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.976
11/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),390
11/01/2024,Subway,Friction Pad Installation,1989
12/01/2024,Bus,Bus Collision Per Million Miles,67.02
12/01/2024,Bus,Bus Collision Injuries Per Million Miles,6.39
12/01/2024,Bus,Bus Customer Accidents per million customers,2.68
12/01/2024,Bus,Audible Pedestrian Turn Warning System,18
12/01/2024,Bus,Vision Zero Employee Training,609
12/01/2024,Subway,Subway Customer Accidents,3.13
12/01/2024,Subway,Subway Fires,66
12/01/2024,Subway,Joint Track Safety Audits - Actual Count,19
12/01/2024,Subway,Joint Track Safety Audits - Compliance Rate,0.9932
12/01/2024,Subway,Continuous Welded Rail Initiative (# Track Feet),1365
12/01/2024,Subway,Friction Pad Installation,1256
01/01/2025,Bus,Bus Collision Per Million Miles,61.73
01/01/2025,Bus,Bus Collision Injuries Per Million Miles,7.09
01/01/2025,Bus,Bus Customer Accidents per million customers,1.99
01/01/2025,Bus,Audible Pedestrian Turn Warning System,22
01/01/2025,Bus,Vision Zero Employee Training,573
01/01/2025,Subway,Subway Customer Accidents,3.72
01/01/2025,Subway,Subway Fires,94
01/01/2025,Subway,Joint Track Safety Audits - Actual Count,28
01/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.979
01/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),0
01/01/2025,Subway,Friction Pad Installation,1551
02/01/2025,Bus,Bus Collision Per Million Miles,53.78
02/01/2025,Bus,Bus Collision Injuries Per Million Miles,7.53
02/01/2025,Bus,Bus Customer Accidents per million customers,1.3
02/01/2025,Bus,Audible Pedestrian Turn Warning System,12
02/01/2025,Bus,Vision Zero Employee Training,437
02/01/2025,Subway,Subway Customer Accidents,2.8
02/01/2025,Subway,Subway Fires,69
02/01/2025,Subway,Joint Track Safety Audits - Actual Count,30
02/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.985
02/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),4635
02/01/2025,Subway,Friction Pad Installation,1638
03/01/2025,Bus,Bus Collision Per Million Miles,56.19
03/01/2025,Bus,Bus Collision Injuries Per Million Miles,6.73
03/01/2025,Bus,Bus Customer Accidents per million customers,2.13
03/01/2025,Bus,Audible Pedestrian Turn Warning System,2
03/01/2025,Bus,Vision Zero Employee Training,555
03/01/2025,Subway,Subway Customer Accidents,2.33
03/01/2025,Subway,Subway Fires,85
03/01/2025,Subway,Joint Track Safety Audits - Actual Count,28
03/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.9636
03/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),13170
03/01/2025,Subway,Friction Pad Installation,2701
04/01/2025,Bus,Bus Collision Per Million Miles,53.97
04/01/2025,Bus,Bus Collision Injuries Per Million Miles,9.59
04/01/2025,Bus,Bus Customer Accidents per million customers,2.36
04/01/2025,Bus,Audible Pedestrian Turn Warning System,1
04/01/2025,Bus,Vision Zero Employee Training,537
04/01/2025,Subway,Subway Customer Accidents,2.45
04/01/2025,Subway,Subway Fires,71
04/01/2025,Subway,Joint Track Safety Audits - Actual Count,34
04/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.9619
04/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),8920
04/01/2025,Subway,Friction Pad Installation,1664
05/01/2025,Bus,Bus Collision Per Million Miles,62.2
05/01/2025,Bus,Bus Collision Injuries Per Million Miles,7.9
05/01/2025,Bus,Bus Customer Accidents per million customers,2.22
05/01/2025,Bus,Audible Pedestrian Turn Warning System,0
05/01/2025,Bus,Vision Zero Employee Training,565
05/01/2025,Subway,Subway Customer Accidents,2.27
05/01/2025,Subway,Subway Fires,69
05/01/2025,Subway,Joint Track Safety Audits - Actual Count,24
05/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.982
05/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),4244
05/01/2025,Subway,Friction Pad Installation,2476
06/01/2025,Bus,Bus Collision Per Million Miles,58.44
06/01/2025,Bus,Bus Collision Injuries Per Million Miles,6.7
06/01/2025,Bus,Audible Pedestrian Turn Warning System,2
06/01/2025,Bus,Vision Zero Employee Training,497
06/01/2025,Subway,Subway Fires,66
06/01/2025,Subway,Joint Track Safety Audits - Actual Count,26
06/01/2025,Subway,Joint Track Safety Audits - Compliance Rate,0.9733
06/01/2025,Subway,Continuous Welded Rail Initiative (# Track Feet),4650
06/01/2025,Subway,Friction Pad Installation,2808
